Time,cs:altitude_agl,cs:altitude_amsl,cs:ground_elevation,cs:ground_speed_x,cs:ground_speed_y,cs:ground_speed_z,fc:altitude_raw,fc:control_mode,fc:course,fc:downlink_present,fc:gcs_link_quality,fc:ground_speed,fc:heading,fc:is_armed,fc:latitude,fc:longitude,fc:main_current,fc:main_voltage,fc:pitch,fc:rc_link_quality,fc:remaining_power_level,fc:roll,fc:satellite_count,fc:takeoff_latitude,fc:takeoff_longitude,fc:uplink_present,fc:vertical_speed,gb:heading,gb:pitch,gb:roll
2017-07-18T16:16:45.965,,,,0.0,0.0,-0.0,0.0,,,,1.0,0.0,-115.49999986802199,,64.84101148175677,-147.71852695404934,1.006,15.306,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,,,,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:46.115,,,,0.0,0.0,-0.0,0.0,,,,1.0,0.0,-115.49999986802199,,64.84101148175677,-147.71852695404934,1.006,15.306,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,,,,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:46.211,,,,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.49999986802199,false,64.84101148175677,-147.71852695404934,1.006,15.306,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,,,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:46.216,,,,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.49999986802199,false,64.84101148175677,-147.71852695404934,1.006,15.306,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:46.265,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.49999986802199,false,64.84101148175677,-147.71852695404934,1.006,15.306,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:46.294,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.49999986802199,false,64.84101148175677,-147.71852695404934,1.006,15.306,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:46.358,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.49999986802199,false,64.84101148175677,-147.71852695404934,1.006,15.306,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:46.416,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.49999986802199,false,64.84101148175677,-147.71852695404934,1.006,15.306,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:46.566,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.49999986802199,false,64.84101148175677,-147.71852695404934,1.006,15.306,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:46.716,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-115.49999986802199,false,64.84101148175677,-147.71852695404934,1.006,15.306,-2.899999996686266,1.0,0.46,-0.8999999989715999,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
