Checksum, UNIX Time Stamp, Mission ID, Platform Tail Number, Platform Heading Angle, Platform Pitch Angle, Platform Roll Angle, Platform Designation, Image Source Sensor, Image Coordinate System, Sensor Latitude, Sensor Longitude, Sensor True Altitude, Sensor Horizontal Field of View, Sensor Vertical Field of View, Sensor Relative Azimuth Angle, Sensor Relative Elevation Angle, Sensor Relative Roll Angle
,1518815730197000,,,32.0,0.3,0.0,,,,64.855353,-147.858567,136.1,38.471454284514344,68.66448958100517,0.0,13.5,,
,1518815730287000,,,32.0,0.4,0.0,,,,64.855353,-147.858568,136.5,38.471454284514344,68.66448958100517,0.0,13.4,,
,1518815730390000,,,32.0,0.4,0.0,,,,64.855353,-147.858568,136.8,38.471454284514344,68.66448958100517,0.0,13.4,,
,1518815730493000,,,32.0,0.4,0.0,,,,64.855353,-147.858568,137.0,38.471454284514344,68.66448958100517,0.0,13.4,,
,1518815730596000,,,32.0,0.4,0.0,,,,64.855353,-147.858568,137.4,38.471454284514344,68.66448958100517,0.0,13.4,,
,1518815730699000,,,32.0,0.3,0.0,,,,64.855353,-147.858568,137.5,38.471454284514344,68.66448958100517,0.0,13.5,,
,1518815730802000,,,32.0,0.4,0.0,,,,64.855353,-147.858568,137.8,38.471454284514344,68.66448958100517,0.0,13.4,,
,1518815730901000,,,32.0,0.7,0.0,,,,64.855353,-147.858568,138.0,38.471454284514344,68.66448958100517,0.0,13.100000000000001,,
,1518815731011000,,,32.0,0.9,0.0,,,,64.855353,-147.858568,138.3,38.471454284514344,68.66448958100517,0.0,12.9,,
,1518815731101000,,,32.0,1.0,0.0,,,,64.855353,-147.858568,138.6,38.471454284514344,68.66448958100517,0.0,12.8,,
,1518815731191000,,,32.0,1.0,0.0,,,,64.855353,-147.858568,138.8,38.471454284514344,68.66448958100517,0.0,12.8,,
,1518815731291000,,,31.9,1.0,0.0,,,,64.855353,-147.858568,139.1,38.471454284514344,68.66448958100517,0.10000000000000142,12.8,,
,1518815731401000,,,31.9,1.1,0.0,,,,64.855353,-147.858568,139.5,38.471454284514344,68.66448958100517,0.10000000000000142,12.700000000000001,,
,1518815731495000,,,31.9,1.3,0.0,,,,64.855353,-147.858568,139.8,38.471454284514344,68.66448958100517,0.10000000000000142,12.5,,
,1518815731598000,,,31.9,1.4,0.0,,,,64.855353,-147.858568,140.1,38.471454284514344,68.66448958100517,0.10000000000000142,12.4,,
,1518815731707000,,,32.0,1.5,0.0,,,,64.855352,-147.858568,140.3,38.471454284514344,68.66448958100517,0.0,12.3,,
,1518815731786000,,,32.1,1.7,0.0,,,,64.855352,-147.858568,140.6,38.471454284514344,68.66448958100517,359.9,12.100000000000001,,
,1518815731890000,,,32.1,1.8,0.0,,,,64.855352,-147.858568,141.0,38.471454284514344,68.66448958100517,359.9,12.0,,
,1518815731993000,,,32.1,1.7,0.0,,,,64.855352,-147.858569,141.3,38.471454284514344,68.66448958100517,359.9,12.100000000000001,,
,1518815732114000,,,32.1,1.6,0.0,,,,64.855352,-147.858569,141.6,38.471454284514344,68.66448958100517,359.9,12.200000000000001,,
,1518815732210000,,,32.0,1.3,0.0,,,,64.855352,-147.858569,141.8,38.471454284514344,68.66448958100517,0.0,12.5,,
,1518815732286000,,,32.0,1.2,0.0,,,,64.855352,-147.858569,142.1,38.471454284514344,68.66448958100517,0.0,12.600000000000001,,
,1518815732397000,,,32.0,1.2,0.0,,,,64.855352,-147.858569,142.5,38.471454284514344,68.66448958100517,0.0,12.600000000000001,,
,1518815732500000,,,32.0,1.2,0.0,,,,64.855352,-147.858569,142.8,38.471454284514344,68.66448958100517,0.0,12.600000000000001,,
,1518815732599000,,,32.0,1.3,0.0,,,,64.855352,-147.858569,143.1,38.471454284514344,68.66448958100517,0.0,12.5,,
,1518815732694000,,,32.0,1.3,0.0,,,,64.855352,-147.858569,143.5,38.471454284514344,68.66448958100517,0.0,12.5,,
,1518815732803000,,,32.1,1.3,0.0,,,,64.855352,-147.858569,143.8,38.471454284514344,68.66448958100517,359.9,12.5,,
,1518815732901000,,,32.0,1.2,0.0,,,,64.855352,-147.858569,144.1,38.471454284514344,68.66448958100517,0.0,12.600000000000001,,
,1518815732989000,,,32.0,1.0,0.0,,,,64.855352,-147.858569,144.3,38.471454284514344,68.66448958100517,0.0,12.8,,
,1518815733123000,,,32.0,0.9,0.0,,,,64.855352,-147.858569,144.6,38.471454284514344,68.66448958100517,0.0,12.9,,
,1518815733198000,,,32.0,0.7,0.0,,,,64.855352,-147.858569,145.0,38.471454284514344,68.66448958100517,0.0,13.100000000000001,,
,1518815733297000,,,32.0,0.8,0.0,,,,64.855352,-147.858569,145.3,38.471454284514344,68.66448958100517,0.0,13.0,,
,1518815733390000,,,32.1,0.8,0.0,,,,64.855352,-147.858569,145.6,38.471454284514344,68.66448958100517,359.9,13.0,,
,1518815733495000,,,32.1,0.6,0.0,,,,64.855352,-147.858569,145.8,38.471454284514344,68.66448958100517,359.9,13.200000000000001,,
,1518815733599000,,,32.0,0.4,0.0,,,,64.855352,-147.858569,146.2,38.471454284514344,68.66448958100517,0.0,13.4,,
,1518815733698000,,,32.0,0.5,0.0,,,,64.855352,-147.858568,146.5,38.471454284514344,68.66448958100517,0.0,13.3,,
,1518815733796000,,,32.1,0.7,0.0,,,,64.855352,-147.858568,146.7,38.471454284514344,68.66448958100517,359.9,13.100000000000001,,
,1518815733899000,,,32.0,0.8,0.0,,,,64.855353,-147.858568,147.1,38.471454284514344,68.66448958100517,0.0,13.0,,
,1518815734022000,,,32.0,0.7,0.0,,,,64.855353,-147.858568,147.3,38.471454284514344,68.66448958100517,0.0,13.100000000000001,,
,1518815734105000,,,32.0,0.6,0.0,,,,64.855353,-147.858568,147.7,38.471454284514344,68.66448958100517,0.0,13.200000000000001,,
,1518815734203000,,,32.1,0.7,0.0,,,,64.855353,-147.858568,148.1,38.471454284514344,68.66448958100517,359.9,13.100000000000001,,
